file,speaker_id,source,label,class_name,duration,sample_rate,channels,sample_width,valid
alert/ai_spk001.wav,ai_spk001,synthetic,0,alert,10.0,16000,1,2,True
alert/ai_spk002.wav,ai_spk002,synthetic,0,alert,10.0,16000,1,2,True
alert/ai_spk003.wav,ai_spk003,synthetic,0,alert,10.0,16000,1,2,True
alert/ai_spk004.wav,ai_spk004,synthetic,0,alert,10.0,16000,1,2,True
alert/ai_spk005.wav,ai_spk005,synthetic,0,alert,10.0,16000,1,2,True
alert/ai_spk006.wav,ai_spk006,synthetic,0,alert,10.0,16000,1,2,True
alert/ai_spk007.wav,ai_spk007,synthetic,0,alert,10.0,16000,1,2,True
alert/real_spk001.wav,real_spk001,real,0,alert,14.713,16000,1,2,True
alert/real_spk002.wav,real_spk002,real,0,alert,10.867,16000,1,2,True
alert/real_spk003.wav,real_spk003,real,0,alert,20.032,16000,1,2,True
alert/real_spk004.wav,real_spk004,real,0,alert,14.934,16000,1,2,True
mid_fatigue/ai_spk001.wav,ai_spk001,synthetic,1,mid_fatigue,10.0,16000,1,2,True
mid_fatigue/ai_spk002.wav,ai_spk002,synthetic,1,mid_fatigue,10.0,16000,1,2,True
mid_fatigue/ai_spk003.wav,ai_spk003,synthetic,1,mid_fatigue,10.0,16000,1,2,True
mid_fatigue/ai_spk004.wav,ai_spk004,synthetic,1,mid_fatigue,10.0,16000,1,2,True
mid_fatigue/ai_spk005.wav,ai_spk005,synthetic,1,mid_fatigue,10.0,16000,1,2,True
mid_fatigue/ai_spk006.wav,ai_spk006,synthetic,1,mid_fatigue,10.0,16000,1,2,True
mid_fatigue/ai_spk007.wav,ai_spk007,synthetic,1,mid_fatigue,10.0,16000,1,2,True
mid_fatigue/real_spk001.wav,real_spk001,real,1,mid_fatigue,34.398,16000,1,2,True
mid_fatigue/real_spk002.wav,real_spk002,real,1,mid_fatigue,32.033,16000,1,2,True
high_fatigue/ai_spk001.wav,ai_spk001,synthetic,2,high_fatigue,10.0,16000,1,2,True
high_fatigue/ai_spk002.wav,ai_spk002,synthetic,2,high_fatigue,10.0,16000,1,2,True
high_fatigue/ai_spk003.wav,ai_spk003,synthetic,2,high_fatigue,10.0,16000,1,2,True
high_fatigue/ai_spk004.wav,ai_spk004,synthetic,2,high_fatigue,10.0,16000,1,2,True
high_fatigue/ai_spk005.wav,ai_spk005,synthetic,2,high_fatigue,10.0,16000,1,2,True
high_fatigue/ai_spk006.wav,ai_spk006,synthetic,2,high_fatigue,10.0,16000,1,2,True
high_fatigue/ai_spk007.wav,ai_spk007,synthetic,2,high_fatigue,10.0,16000,1,2,True
high_fatigue/real_spk001.wav,real_spk001,real,2,high_fatigue,22.694,16000,1,2,True
high_fatigue/real_spk002.wav,real_spk002,real,2,high_fatigue,20.387,16000,1,2,True
high_fatigue/real_spk003.wav,real_spk003,real,2,high_fatigue,27.029,16000,1,2,True
high_fatigue/real_spk004.wav,real_spk004,real,2,high_fatigue,19.613,16000,1,2,True
