file,speaker_id,source,pairing,label,class_name,duration,sample_rate,channels,sample_width,valid,split
real/paired/alert/real_spk001.wav,real_spk001,real,paired,0,alert,8.094,16000,1,PCM_16,True,validation
real/paired/alert/real_spk002.wav,real_spk002,real,paired,0,alert,8.633,16000,1,PCM_16,True,train
real/paired/alert/real_spk003.wav,real_spk003,real,paired,0,alert,10.914,16000,1,PCM_16,True,train
real/paired/alert/real_spk004.wav,real_spk004,real,paired,0,alert,8.114,16000,1,PCM_16,True,train
real/paired/alert/real_spk005.wav,real_spk005,real,paired,0,alert,7.654,16000,1,PCM_16,True,train
real/paired/alert/real_spk006.wav,real_spk006,real,paired,0,alert,8.274,16000,1,PCM_16,True,test
real/paired/mild_fatigue/real_spk001.wav,real_spk001,real,paired,1,mild_fatigue,11.553,16000,1,PCM_16,True,validation
real/paired/mild_fatigue/real_spk002.wav,real_spk002,real,paired,1,mild_fatigue,12.674,16000,1,PCM_16,True,train
real/paired/mild_fatigue/real_spk003.wav,real_spk003,real,paired,1,mild_fatigue,14.914,16000,1,PCM_16,True,train
real/paired/mild_fatigue/real_spk004.wav,real_spk004,real,paired,1,mild_fatigue,11.114,16000,1,PCM_16,True,train
real/paired/mild_fatigue/real_spk005.wav,real_spk005,real,paired,1,mild_fatigue,11.053,16000,1,PCM_16,True,train
real/paired/mild_fatigue/real_spk006.wav,real_spk006,real,paired,1,mild_fatigue,10.653,16000,1,PCM_16,True,test
real/paired/high_fatigue/real_spk001.wav,real_spk001,real,paired,2,high_fatigue,15.274,16000,1,PCM_16,True,validation
real/paired/high_fatigue/real_spk002.wav,real_spk002,real,paired,2,high_fatigue,15.393,16000,1,PCM_16,True,train
real/paired/high_fatigue/real_spk003.wav,real_spk003,real,paired,2,high_fatigue,15.834,16000,1,PCM_16,True,train
real/paired/high_fatigue/real_spk004.wav,real_spk004,real,paired,2,high_fatigue,14.493,16000,1,PCM_16,True,train
real/paired/high_fatigue/real_spk005.wav,real_spk005,real,paired,2,high_fatigue,13.493,16000,1,PCM_16,True,train
real/paired/high_fatigue/real_spk006.wav,real_spk006,real,paired,2,high_fatigue,19.053,16000,1,PCM_16,True,test
real/unpaired/alert/real_spk001.wav,real_spk001,real,unpaired,0,alert,14.713,16000,1,PCM_16,True,validation
real/unpaired/alert/real_spk002.wav,real_spk002,real,unpaired,0,alert,10.867,16000,1,PCM_16,True,train
real/unpaired/alert/real_spk003.wav,real_spk003,real,unpaired,0,alert,20.032,16000,1,PCM_16,True,train
real/unpaired/alert/real_spk004.wav,real_spk004,real,unpaired,0,alert,14.934,16000,1,PCM_16,True,train
real/unpaired/mild_fatigue/real_spk001.wav,real_spk001,real,unpaired,1,mild_fatigue,34.398,16000,1,PCM_16,True,validation
real/unpaired/mild_fatigue/real_spk002.wav,real_spk002,real,unpaired,1,mild_fatigue,32.033,16000,1,PCM_16,True,train
real/unpaired/high_fatigue/real_spk001.wav,real_spk001,real,unpaired,2,high_fatigue,22.694,16000,1,PCM_16,True,validation
real/unpaired/high_fatigue/real_spk002.wav,real_spk002,real,unpaired,2,high_fatigue,20.387,16000,1,PCM_16,True,train
real/unpaired/high_fatigue/real_spk003.wav,real_spk003,real,unpaired,2,high_fatigue,27.029,16000,1,PCM_16,True,train
real/unpaired/high_fatigue/real_spk004.wav,real_spk004,real,unpaired,2,high_fatigue,19.613,16000,1,PCM_16,True,train
synthetic/alert/ai_spk001.wav,ai_spk001,synthetic,paired,0,alert,10.0,16000,1,PCM_16,True,train
synthetic/alert/ai_spk002.wav,ai_spk002,synthetic,paired,0,alert,10.0,16000,1,PCM_16,True,test
synthetic/alert/ai_spk003.wav,ai_spk003,synthetic,paired,0,alert,10.0,16000,1,PCM_16,True,train
synthetic/alert/ai_spk004.wav,ai_spk004,synthetic,paired,0,alert,10.0,16000,1,PCM_16,True,train
synthetic/alert/ai_spk005.wav,ai_spk005,synthetic,paired,0,alert,10.0,16000,1,PCM_16,True,train
synthetic/alert/ai_spk006.wav,ai_spk006,synthetic,paired,0,alert,10.0,16000,1,PCM_16,True,validation
synthetic/alert/ai_spk007.wav,ai_spk007,synthetic,paired,0,alert,10.0,16000,1,PCM_16,True,test
synthetic/mild_fatigue/ai_spk001.wav,ai_spk001,synthetic,paired,1,mild_fatigue,10.0,16000,1,PCM_16,True,train
synthetic/mild_fatigue/ai_spk002.wav,ai_spk002,synthetic,paired,1,mild_fatigue,10.0,16000,1,PCM_16,True,test
synthetic/mild_fatigue/ai_spk003.wav,ai_spk003,synthetic,paired,1,mild_fatigue,10.0,16000,1,PCM_16,True,train
synthetic/mild_fatigue/ai_spk004.wav,ai_spk004,synthetic,paired,1,mild_fatigue,10.0,16000,1,PCM_16,True,train
synthetic/mild_fatigue/ai_spk005.wav,ai_spk005,synthetic,paired,1,mild_fatigue,10.0,16000,1,PCM_16,True,train
synthetic/mild_fatigue/ai_spk006.wav,ai_spk006,synthetic,paired,1,mild_fatigue,10.0,16000,1,PCM_16,True,validation
synthetic/mild_fatigue/ai_spk007.wav,ai_spk007,synthetic,paired,1,mild_fatigue,10.0,16000,1,PCM_16,True,test
synthetic/high_fatigue/ai_spk001.wav,ai_spk001,synthetic,paired,2,high_fatigue,10.0,16000,1,PCM_16,True,train
synthetic/high_fatigue/ai_spk002.wav,ai_spk002,synthetic,paired,2,high_fatigue,10.0,16000,1,PCM_16,True,test
synthetic/high_fatigue/ai_spk003.wav,ai_spk003,synthetic,paired,2,high_fatigue,10.0,16000,1,PCM_16,True,train
synthetic/high_fatigue/ai_spk004.wav,ai_spk004,synthetic,paired,2,high_fatigue,10.0,16000,1,PCM_16,True,train
synthetic/high_fatigue/ai_spk005.wav,ai_spk005,synthetic,paired,2,high_fatigue,10.0,16000,1,PCM_16,True,train
synthetic/high_fatigue/ai_spk006.wav,ai_spk006,synthetic,paired,2,high_fatigue,10.0,16000,1,PCM_16,True,validation
synthetic/high_fatigue/ai_spk007.wav,ai_spk007,synthetic,paired,2,high_fatigue,10.0,16000,1,PCM_16,True,test
